,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mogadishu,Mogadishu,92,SO,1552009875,100,2.04,45.34,26.95,7.26
kirakira,Kirakira,44,SB,1552009875,100,-10.46,161.92,26.52,2.86
san vicente,San Vicente,20,SV,1552009832,52,13.64,-88.78,31,2.6
tezu,Tezu,100,IN,1552009876,100,27.93,96.16,8.7,0.46
dumas,Dumas,0,IN,1552006800,82,21.09,72.71,20,1
enid,Enid,1,US,1552009714,76,36.4,-97.88,7.22,2.1
yar-sale,Yar-Sale,64,RU,1552009877,81,66.83,70.83,-14.61,5.26
saint-philippe,Saint-Philippe,1,CA,1552009806,60,45.36,-73.48,-10,2.1
ginir,Ginir,20,ET,1552009877,69,7.14,40.71,14.7,1.31
beringovskiy,Beringovskiy,88,RU,1552009677,95,63.05,179.32,-4.11,11.41
fairbanks,Fairbanks,90,US,1552009706,64,64.84,-147.72,1.11,4.11
vardo,Vardo,1,US,1552009578,46,39.62,-77.74,1,1.5
tabou,Tabou,24,CI,1552009878,100,4.42,-7.36,27.7,4.06
guerrero negro,Guerrero Negro,88,MX,1552009878,92,27.97,-114.04,15.3,3.21
patnanungan,Patnanungan,0,PH,1552009878,100,14.78,122.18,26.25,4.21
caravelas,Caravelas,20,BR,1552009878,100,-17.73,-39.27,28.87,2.86
pevek,Pevek,44,RU,1552009878,86,69.7,170.27,-16.51,1.16
murwara,Murwara,0,IN,1552009879,40,23.85,80.4,20.72,1.76
katsuura,Katsuura,40,JP,1552008283,39,33.93,134.5,9,7.7
byron bay,Byron Bay,90,AU,1552009677,78,-28.65,153.62,26,6.2
ostrovnoy,Ostrovnoy,0,RU,1552009879,79,68.05,39.51,-14.66,6.06
mount gambier,Mount Gambier,90,AU,1552006800,42,-37.83,140.78,20,1.5
port lincoln,Port Lincoln,36,AU,1552009880,74,-34.72,135.86,22.2,1.86
les cayes,Les Cayes,44,HT,1552009880,100,18.19,-73.75,24.65,2.01
broken hill,Broken Hill,0,AU,1552006800,10,-31.97,141.45,26,2.1
hermanus,Hermanus,80,ZA,1552009584,95,-34.42,19.24,15.56,2.26
yellowknife,Yellowknife,20,CA,1552009486,77,62.45,-114.38,-12.78,3.1
matay,Matay,0,EG,1552009880,92,28.42,30.79,8.62,4.26
panzhihua,Panzhihua,0,CN,1552009729,52,26.59,101.72,16.11,2.51
harper,Harper,1,US,1552009725,77,30.3,-99.24,16.11,2.1
lubango,Lubango,48,AO,1552009881,93,-14.92,13.49,16.5,1.06
pangnirtung,Pangnirtung,8,CA,1552009724,62,66.15,-65.72,-17.81,2.26
kibala,Kibala,0,TD,1552006800,57,9.11,18.35,27,1.21
atar,Atar,0,MR,1552009778,43,20.52,-13.05,14.87,4.51
ponta do sol,Ponta do Sol,64,BR,1552009882,94,-20.63,-46,18.4,1.06
hovd,Hovd,90,NO,1552009816,92,63.83,10.7,-1.67,1.41
staryy nadym,Staryy Nadym,76,RU,1552009882,84,65.61,72.68,-12.86,8.26
asha,Asha,0,RU,1552009882,87,54.99,57.29,-14.36,2.26
santiago del estero,Santiago del Estero,24,AR,1552009758,90,-27.8,-64.26,25.55,1.36
provideniya,Provideniya,68,RU,1552009709,100,64.42,-173.23,-4.01,12.31
lujiang,Lujiang,0,CN,1552006800,59,31.26,117.28,7,5
leningradskiy,Leningradskiy,32,RU,1552009748,82,69.38,178.42,-15.88,6.81
ramhormoz,Ramhormoz,0,IR,1552006800,66,31.28,49.6,11,2.1
luena,Luena,68,AO,1552009884,94,-11.78,19.91,17,1.06
san patricio,San Patricio,8,PY,1552009669,83,-26.98,-56.83,26,2.56
half moon bay,Half Moon Bay,75,US,1552009850,66,37.46,-122.43,11.11,3.6
esso,Esso,76,RU,1552009884,86,55.93,158.7,-7.13,1.31
kroya,Kroya,20,ID,1552009884,70,-6.5,108.06,30.2,0.76
hasaki,Hasaki,20,JP,1552009775,42,35.73,140.83,11.11,6.2
te anau,Te Anau,0,NZ,1552009885,52,-45.41,167.72,15.87,1.51
khatanga,Khatanga,68,RU,1552009885,72,71.98,102.47,-19.38,1.31
sao filipe,Sao Filipe,0,CV,1552009725,95,14.9,-24.5,21.27,8.26
kosa,Kosa,76,RU,1552009885,79,59.94,54.99,-7.73,5.86
meulaboh,Meulaboh,12,ID,1552009885,100,4.14,96.13,27.72,1.56
toamasina,Toamasina,40,MG,1552006800,94,-18.17,49.38,24,0.96
cidreira,Cidreira,12,BR,1552009677,93,-30.17,-50.22,22.72,2.01
port elizabeth,Port Elizabeth,1,US,1552009609,68,39.31,-74.98,0.56,2.06
petropavlovsk-kamchatskiy,Petropavlovsk-Kamchatskiy,90,RU,1552006800,86,53.05,158.65,-3,1
constitucion,Constitucion,75,MX,1552005840,7,23.99,-104.67,24,6.2
enshi,Enshi,92,CN,1552009887,83,30.29,109.48,3.6,1.51
havelock,Havelock,1,US,1552009883,70,34.88,-76.9,7,1.5
san quintin,San Quintin,0,PH,1552009887,50,17.54,120.52,29.77,1.61
noyabrsk,Noyabrsk,68,RU,1552009887,85,63.2,75.45,-10.28,12.56
soure,Soure,75,PT,1552009849,87,40.06,-8.63,13,5.7
fortuna,Fortuna,0,ES,1552009885,46,38.18,-1.13,10.56,0.5
sitka,Sitka,92,US,1552009641,76,37.17,-99.65,2.78,1.34
sigiriya,Sigiriya,0,LK,1552009888,90,7.95,80.75,25.25,1.86
pinsk,Pinsk,36,BY,1552009888,85,52.11,26.1,9.02,5.16
dikson,Dikson,56,RU,1552009889,88,73.51,80.55,-13.51,2.41
cockburn town,Cockburn Town,76,TC,1552009889,100,21.46,-71.14,23.45,9.26
suntar,Suntar,64,RU,1552009889,55,62.16,117.65,-8.71,3.36
koungheul,Koungheul,0,SN,1552009889,24,13.98,-14.8,20.3,5.21
vila velha,Vila Velha,75,BR,1552009689,88,-3.71,-38.6,26.67,2.26
shache,Shache,12,CN,1552009890,53,38.42,77.24,0.02,2.31
nkhotakota,Nkhotakota,68,MW,1552009890,100,-12.93,34.3,20.87,1.81
nhulunbuy,Nhulunbuy,40,AU,1552006800,62,-12.18,136.78,31,3.1
kurilsk,Kurilsk,48,RU,1552009890,100,45.23,147.88,-4.71,6.31
san carlos de bariloche,San Carlos de Bariloche,0,AR,1552006800,61,-41.13,-71.31,8,2.6
mar del plata,Mar del Plata,0,AR,1552009617,88,-46.43,-67.52,7.7,1.16
marsaxlokk,Marsaxlokk,0,MT,1552009827,82,35.84,14.54,15,4.6
bombay,Bombay,75,US,1552009804,51,44.94,-74.57,-8.89,5.7
okmulgee,Okmulgee,1,US,1552009803,93,35.62,-95.96,12,2.6
north bend,North Bend,90,US,1552009835,87,43.41,-124.22,6.67,5.1
martapura,Martapura,68,ID,1552006800,88,-3.41,114.85,26,2.6
ahipara,Ahipara,0,NZ,1552009858,100,-35.17,173.16,17.22,1.31
makakilo city,Makakilo City,90,US,1552009606,50,21.35,-158.09,27,5.7
douentza,Douentza,0,ML,1552009892,56,15.01,-2.95,12.35,1.16
hamilton,Hamilton,40,BM,1552009533,54,32.3,-64.78,15,6.2
ban chang,Ban Chang,20,TH,1552009503,74,12.72,101.05,31.67,3.6
stepnogorsk,Stepnogorsk,76,KZ,1552009893,91,52.35,71.88,-2.61,3.16
golden,Golden,88,CA,1552009526,85,51.3,-116.96,-13.89,12.52
sisimiut,Sisimiut,0,GL,1552009759,54,66.94,-53.67,-18.63,1.66
jacqueville,,,,,,,,,
lalpur,Lalpur,0,BD,1552009894,63,24.18,88.96,22.8,2.01
sao caetano de odivelas,Sao Caetano de Odivelas,64,BR,1552009894,100,-0.75,-48.02,25.87,3.36
carnduff,Carnduff,64,CA,1552009724,86,49.17,-101.8,-11.11,5.81
tynda,Tynda,68,RU,1552009894,54,55.15,124.74,-6.16,4.06
buritizeiro,Buritizeiro,0,BR,1552009894,92,-17.37,-44.96,21.52,2.51
jalu,Jalu,0,LY,1552009894,71,29.03,21.55,7.72,1.36
verkhnyaya inta,Verkhnyaya Inta,68,RU,1552009895,65,65.99,60.32,-9.78,4.51
budogoshch,Budogoshch,88,RU,1552009895,96,59.29,32.45,3.27,4.46
zhigansk,Zhigansk,64,RU,1552009895,65,66.77,123.37,-11.81,1.66
catalina,Catalina,12,CO,1552009895,83,8.86,-75.38,26,3.81
kahului,Kahului,40,US,1552009572,54,20.89,-156.47,26,8.2
saint-pierre,Saint-Pierre,40,FR,1552009624,93,48.95,4.24,7,6.2
bani walid,Bani Walid,0,LY,1552009896,51,31.76,14,4.77,2.41
aktau,Aktau,75,KZ,1552006800,93,43.65,51.16,5,9
moerai,Moerai,80,PF,1552009899,100,-22.43,-151.33,26.95,9.96
clonakilty,Clonakilty,20,IE,1552006800,80,51.62,-8.87,4,3.1
karratha,Karratha,24,AU,1552009900,31,-20.74,116.85,36.4,2.06
lakatoro,Lakatoro,44,VU,1552009900,97,-16.11,167.42,27.97,1.56
pogar,Pogar,44,RU,1552009900,86,52.55,33.26,4.27,8.76
karaton,Karaton,40,ID,1552009509,78,-6.34,106.1,27,2.1
zhadovka,Zhadovka,24,RU,1552009901,77,53.57,46.95,-11.81,4.26
christchurch,Christchurch,92,NZ,1552009885,93,-43.53,172.64,13.33,4.1
hailar,Hailar,32,CN,1552009704,32,49.2,119.7,2.85,4.76
glens falls,Glens Falls,1,US,1552009837,40,43.31,-73.64,-7,2.1
pangai,Pangai,75,TO,1552006800,74,-19.8,-174.35,28,4.6
kambove,Kambove,56,CD,1552009902,98,-10.88,26.6,15.27,1.11
ullapool,Ullapool,88,GB,1552009806,85,57.9,-5.16,1.11,0.45
novopokrovka,Novopokrovka,0,RU,1552009902,38,45.85,134.51,5.62,2.41
balabac,Balabac,12,PH,1552009903,98,7.99,117.06,27.75,3.16
kabalo,Kabalo,92,CD,1552009903,100,-6.05,26.92,20.1,3.36
aguimes,Aguimes,40,ES,1552009836,72,27.91,-15.45,17,7.2
puerto quijarro,Puerto Quijarro,8,BO,1552009903,64,-19,-57.72,28.35,1.96
tasiilaq,Tasiilaq,36,GL,1552006200,52,65.61,-37.64,-8,4.1
barberton,Barberton,1,US,1552009635,67,41.01,-81.61,-3.33,2.11
tevaitoa,Tevaitoa,92,PF,1552009904,94,-16.78,-151.5,29.7,7.96
marsh harbour,Marsh Harbour,24,BS,1552009904,100,26.54,-77.06,21.3,7.61
kaitangata,Kaitangata,0,NZ,1552009800,57,-46.28,169.85,15.56,3.58
coahuayana,Coahuayana,0,MX,1552009904,60,18.62,-100.35,20.15,0.96
puerto escondido,Puerto Escondido,40,MX,1552005600,70,15.86,-97.07,29,2.76
vanimo,Vanimo,20,PG,1552009698,100,-2.67,141.3,27.97,0.96
etchoropo,Etchoropo,44,MX,1552009882,67,26.77,-109.67,23.89,0.89
parang,Parang,8,PH,1552009905,79,7.38,124.27,28.15,1.36
colonia,Colonia,0,RO,1552008600,73,46.6,23.97,4,0.5
asosa,Asosa,0,ET,1552009905,35,10.07,34.53,15.25,2.26
axim,Axim,32,GH,1552009906,97,4.87,-2.24,28.52,4.11
vaihingen,Vaihingen,20,DE,1552009867,65,48.73,9.11,9.44,3.6
santa cruz,Santa Cruz,75,US,1552009895,93,36.97,-122.03,11.11,1.06
labytnangi,Labytnangi,44,RU,1552009908,53,66.66,66.39,-20.61,4.26
saskylakh,Saskylakh,12,RU,1552009645,69,71.97,114.09,-23.48,3.31
bloemfontein,Bloemfontein,92,ZA,1552006800,77,-29.12,26.22,19,1
susanville,Susanville,20,US,1552009675,80,40.42,-120.65,4,4.6
severodvinsk,Severodvinsk,20,RU,1552006800,84,64.56,39.82,-15,2
oksfjord,Oksfjord,68,NO,1552006200,71,70.24,22.35,-16,4.1
waipawa,Waipawa,92,NZ,1552008855,61,-39.94,176.59,21.67,0.45
belaya gora,Belaya Gora,8,RU,1552009909,72,68.54,146.19,-23.81,1.81
paso de los toros,Paso de los Toros,92,UY,1552009909,98,-32.81,-56.52,20.7,2.46
benguela,Benguela,56,AO,1552009909,100,-12.58,13.4,26.4,1.51
nyurba,Nyurba,56,RU,1552009910,56,63.29,118.35,-8.81,3.31
urucara,Urucara,64,BR,1552009910,94,-2.54,-57.76,24.3,1.31
elizabeth city,Elizabeth City,1,US,1552009832,69,36.3,-76.22,5,0.61
montepuez,Montepuez,44,MZ,1552009910,93,-13.13,39,20.47,2.26
hay river,Hay River,20,CA,1552006800,49,60.82,-115.79,-5,3.6
krasnogorodsk,Krasnogorodsk,56,RU,1552009910,89,56.83,28.28,5.47,5.71
codrington,Codrington,75,AU,1552009370,88,-28.95,153.24,26,2.21
milton,Milton,1,US,1552009729,60,44.64,-73.11,-10,2.1
lewiston,Lewiston,20,US,1552009746,64,46.42,-117.02,3,1.5
rabo de peixe,Rabo de Peixe,40,PT,1552009892,100,37.8,-25.58,15,3.6
tautira,Tautira,20,PF,1552009503,66,-17.73,-149.15,32,4.1
indianola,Indianola,1,US,1552009583,86,40.24,-100.42,-1,3.1
bud,Bud,90,NO,1552009601,100,62.91,6.91,1.11,8.2
kulhudhuffushi,Kulhudhuffushi,32,MV,1552009675,100,6.62,73.07,27.7,0.71
laredo,Laredo,1,US,1552007700,53,27.51,-99.51,23,4.6
cape canaveral,Cape Canaveral,1,US,1552009881,76,28.41,-80.6,17.78,1.5
bullhead city,Bullhead City,75,US,1552009710,42,35.15,-114.57,24,4.6
college,College,90,US,1552009861,64,64.86,-147.8,1.11,4.11
estelle,Estelle,1,US,1552009678,64,32.87,-97.01,20.56,4.6
luau,Luau,24,CD,1552009914,93,-10.7,22.23,17.47,1.06
moldovita,Moldovita,0,RO,1552009651,57,47.68,25.53,8.33,4.1
podosinovets,Podosinovets,80,RU,1552009914,78,60.28,47.06,-5.38,4.31
tianpeng,Tianpeng,92,CN,1552009914,100,28.88,112.34,7.47,2.66
somerset,Somerset,90,US,1552009699,51,37.09,-84.6,4,2.6
palmer,Palmer,0,AU,1552009837,36,-34.85,139.16,28.33,4.1
srednekolymsk,Srednekolymsk,36,RU,1552009915,66,67.46,153.71,-16.53,1.21
ewa beach,Ewa Beach,90,US,1552009864,50,21.32,-158.01,27,5.7
brae,Brae,36,GB,1552006200,59,60.4,-1.35,3,5.7
nabire,Nabire,64,ID,1552009916,83,-3.36,135.5,25.22,1.11
mersing,Mersing,80,MY,1552009916,79,2.43,103.84,29.05,3.81
boende,Boende,76,CD,1552009916,98,-0.28,20.88,20.75,0.96
turbat,Turbat,0,PK,1552009916,85,26,63.05,14.85,2.41
doctor juan manuel frutos,Doctor Juan Manuel Frutos,8,PY,1552009916,88,-25.39,-55.83,23.8,2.71
ridgecrest,Ridgecrest,20,US,1552009782,54,35.62,-117.67,12.78,4.92
portland,Portland,75,US,1552009864,75,45.52,-122.67,6.11,5.1
carupano,Carupano,8,VE,1552009917,86,10.67,-63.26,25.5,5.71
grand-santi,Grand-Santi,48,GF,1552009917,59,4.27,-54.38,28.05,2.21
hami,Hami,0,CN,1552009918,59,42.84,93.51,6.12,0.41
lavrentiya,Lavrentiya,80,RU,1552009918,96,65.58,-170.99,-4.66,11.56
kasongo-lunda,Kasongo-Lunda,92,CD,1552009918,96,-6.48,16.82,20.05,1.21
xinmin,Xinmin,0,CN,1552006800,26,42,122.83,6,2
safford,Safford,1,US,1552009690,21,32.83,-109.71,21,3.6
port augusta,Port Augusta,36,AU,1552009891,14,-32.49,137.76,29,5.7
sharqpur,Sharqpur,40,PK,1552006500,66,31.46,74.1,12,1.36
surt,Surt,0,LY,1552009919,90,31.21,16.59,12.95,5.86
vila franca do campo,Vila Franca do Campo,40,PT,1552009892,100,37.72,-25.43,15,3.6
chizhou,Chizhou,68,CN,1552009920,77,30.67,117.49,9.25,2.21
pak phanang,Pak Phanang,20,TH,1552006800,83,8.35,100.2,27,1
lorengau,Lorengau,88,PG,1552009920,100,-2.02,147.27,26.9,1.86
aklavik,Aklavik,90,CA,1552006800,79,68.22,-135.01,-5,2.1
ribeira grande,Ribeira Grande,92,PT,1552009921,94,38.52,-28.7,16.7,7.01
tuma,Tuma,92,RU,1552009630,59,55.15,40.55,-6.11,4.47
ambilobe,Ambilobe,64,MG,1552009921,96,-13.19,49.05,23.25,1.11
port keats,Port Keats,0,AU,1552009921,76,-14.25,129.55,34.35,2.76
panjab,Panjab,68,AF,1552009922,68,34.38,67.02,-13.46,1.06
henties bay,Henties Bay,0,NA,1552006990,86,-22.12,14.28,18.89,1.34
la ronge,La Ronge,40,CA,1552006800,55,55.1,-105.3,-12,1.16
viedma,Viedma,0,AR,1552009649,65,-40.81,-62.99,13.52,6.06
manitouwadge,Manitouwadge,0,CA,1552009922,75,49.12,-85.84,-12.76,3.81
pangoa,Pangoa,12,PE,1552009922,98,-12.12,-73,19.4,0.71
narsaq,Narsaq,68,GL,1552009923,77,60.91,-46.05,-4.66,5.91
